date,rainfall
11/09/2017,0.0
12/09/2017,0.6
13/09/2017,0.0
14/09/2017,0.0
15/09/2017,0.0
16/09/2017,0.0
17/09/2017,0.0
18/09/2017,0.0
19/09/2017,0.0
20/09/2017,0.2
21/09/2017,0.0
22/09/2017,17.9
23/09/2017,33.4
24/09/2017,5.6
25/09/2017,0.5
26/09/2017,0.0
27/09/2017,0.0
28/09/2017,0.0
29/09/2017,0.0
30/09/2017,35.0
01/10/2017,6.6
02/10/2017,3.6
03/10/2017,0.0
04/10/2017,9.5
05/10/2017,0.0
06/10/2017,0.2
07/10/2017,0.0
08/10/2017,0.0
09/10/2017,0.0
10/10/2017,0.0
11/10/2017,0.2
12/10/2017,0.0
13/10/2017,0.0
14/10/2017,0.4
15/10/2017,20.7
16/10/2017,17.1
17/10/2017,41.3
18/10/2017,0.0
19/10/2017,0.0
20/10/2017,0.0
21/10/2017,0.0
22/10/2017,0.0
23/10/2017,0.0
24/10/2017,0.0
25/10/2017,0.0
26/10/2017,0.0
27/10/2017,0.0
28/10/2017,0.0
29/10/2017,0.0
30/10/2017,0.0
31/10/2017,0.0
01/11/2017,0.0
02/11/2017,0.0
03/11/2017,0.0
04/11/2017,0.3
05/11/2017,0.0
06/11/2017,0.0
07/11/2017,0.3
08/11/2017,0.0
09/11/2017,0.0
10/11/2017,0.0
11/11/2017,0.0
12/11/2017,14.7
13/11/2017,12.5
14/11/2017,0.2
15/11/2017,0.0
16/11/2017,0.0
17/11/2017,0.0
18/11/2017,1.9
19/11/2017,1.0
20/11/2017,0.0
21/11/2017,0.0
22/11/2017,0.0
23/11/2017,0.0
24/11/2017,0.0
25/11/2017,0.0
26/11/2017,0.0
27/11/2017,0.0
28/11/2017,0.0
29/11/2017,0.0
30/11/2017,0.3
01/12/2017,0.0
02/12/2017,0.0
03/12/2017,0.0
04/12/2017,0.0
05/12/2017,0.0
06/12/2017,0.0
07/12/2017,0.0
08/12/2017,0.0
09/12/2017,0.0
10/12/2017,0.0
11/12/2017,0.0
12/12/2017,0.0
13/12/2017,0.0
14/12/2017,0.0
15/12/2017,0.0
16/12/2017,0.0
17/12/2017,0.0
18/12/2017,0.0
19/12/2017,0.0
20/12/2017,0.0
21/12/2017,0.0
22/12/2017,0.0
23/12/2017,0.0
24/12/2017,0.0
25/12/2017,0.0
26/12/2017,0.0
27/12/2017,0.0
28/12/2017,0.0
29/12/2017,0.0
30/12/2017,0.0
31/12/2017,0.0
01/01/2018,0.0
02/01/2018,0.0
03/01/2018,0.0
04/01/2018,0.2
05/01/2018,0.2
06/01/2018,3.7
07/01/2018,16.2
08/01/2018,11.6
09/01/2018,9.9
10/01/2018,0.0
11/01/2018,0.0
12/01/2018,0.0
13/01/2018,0.0
14/01/2018,0.0
15/01/2018,0.0
16/01/2018,0.0
17/01/2018,0.0
18/01/2018,0.0
19/01/2018,0.8
20/01/2018,0.0
21/01/2018,0.0
22/01/2018,0.0
23/01/2018,0.0
24/01/2018,0.0
25/01/2018,0.0
26/01/2018,0.0
27/01/2018,0.0
28/01/2018,0.0
29/01/2018,0.1
30/01/2018,0.2
31/01/2018,19.3
01/02/2018,0.0
02/02/2018,0.0
03/02/2018,0.0
04/02/2018,0.0
05/02/2018,0.0
06/02/2018,0.0
07/02/2018,0.0
08/02/2018,0.0
09/02/2018,0.0
10/02/2018,0.0
11/02/2018,0.0
12/02/2018,0.0
13/02/2018,0.0
14/02/2018,0.0
15/02/2018,0.0
16/02/2018,0.0
17/02/2018,0.0
18/02/2018,0.0
19/02/2018,0.0
20/02/2018,0.0
21/02/2018,0.0
22/02/2018,2.3
23/02/2018,2.0
24/02/2018,0.2
25/02/2018,0.0
26/02/2018,0.0
27/02/2018,0.0
28/02/2018,0.0
01/03/2018,0.0
02/03/2018,0.0
03/03/2018,0.0
04/03/2018,0.0
05/03/2018,0.0
06/03/2018,0.0
07/03/2018,0.0
08/03/2018,20.3
09/03/2018,0.0
10/03/2018,0.0
11/03/2018,0.0
12/03/2018,0.0
13/03/2018,0.0
14/03/2018,2.4
15/03/2018,0.0
16/03/2018,0.0
17/03/2018,0.0
18/03/2018,0.0
19/03/2018,0.0
20/03/2018,0.0
21/03/2018,0.0
22/03/2018,0.0
23/03/2018,0.0
24/03/2018,0.0
25/03/2018,0.0
26/03/2018,0.0
27/03/2018,0.0
28/03/2018,0.0
29/03/2018,0.0
30/03/2018,0.0
31/03/2018,0.0
01/04/2018,0.0
02/04/2018,0.0
03/04/2018,0.0
04/04/2018,0.0
05/04/2018,0.0
06/04/2018,0.0
07/04/2018,0.0
08/04/2018,0.0
09/04/2018,0.0
10/04/2018,0.0
11/04/2018,0.0
12/04/2018,0.0
13/04/2018,0.0
14/04/2018,0.0
15/04/2018,17.2
16/04/2018,2.0
17/04/2018,0.2
18/04/2018,0.1
19/04/2018,0.0
20/04/2018,0.0
21/04/2018,0.0
22/04/2018,0.0
23/04/2018,0.0
24/04/2018,8.2
25/04/2018,0.0
26/04/2018,0.3
27/04/2018,0.0
28/04/2018,0.1
29/04/2018,0.0
30/04/2018,0.0
01/05/2018,0.0
02/05/2018,0.0
03/05/2018,1.9
04/05/2018,0.8
05/05/2018,0.0
06/05/2018,1.0
07/05/2018,6.7
08/05/2018,28.4
09/05/2018,5.4
10/05/2018,8.0
11/05/2018,1.0
12/05/2018,0.0
13/05/2018,0.0
14/05/2018,0.0
15/05/2018,0.0
16/05/2018,0.0
17/05/2018,0.0
18/05/2018,0.0
19/05/2018,0.0
20/05/2018,0.0
21/05/2018,0.0
22/05/2018,0.0
23/05/2018,0.0
24/05/2018,0.0
25/05/2018,0.0
26/05/2018,0.9
27/05/2018,3.4
28/05/2018,0.0
29/05/2018,0.0
30/05/2018,0.0
31/05/2018,0.0
01/06/2018,0.0
02/06/2018,0.0
03/06/2018,0.0
04/06/2018,12.4
05/06/2018,28.2
06/06/2018,58.3
07/06/2018,47.4
08/06/2018,70.2
09/06/2018,4.8
10/06/2018,0.0
11/06/2018,0.0
12/06/2018,39.6
13/06/2018,109.3
14/06/2018,1.3
15/06/2018,0.2
16/06/2018,0.0
17/06/2018,0.0
18/06/2018,0.0
19/06/2018,0.0
20/06/2018,0.0
21/06/2018,2.6
22/06/2018,32.9
23/06/2018,25.6
24/06/2018,18.1
25/06/2018,6.2
26/06/2018,1.7
27/06/2018,0.0
28/06/2018,0.0
29/06/2018,0.0
30/06/2018,0.0
01/07/2018,4.1
02/07/2018,2.1
03/07/2018,15.4
04/07/2018,3.4
05/07/2018,1.5
06/07/2018,5.0
07/07/2018,5.2
08/07/2018,14.4
09/07/2018,11.3
10/07/2018,1.3
11/07/2018,0.0
12/07/2018,0.0
13/07/2018,50.4
14/07/2018,52.7
15/07/2018,67.4
16/07/2018,5.8
17/07/2018,6.5
18/07/2018,29.6
19/07/2018,17.3
20/07/2018,7.1
21/07/2018,0.0
22/07/2018,0.0
23/07/2018,30.8
24/07/2018,0.1
25/07/2018,2.7
26/07/2018,3.4
27/07/2018,0.3
28/07/2018,0.0
29/07/2018,0.0
30/07/2018,0.0
31/07/2018,3.3
01/08/2018,2.7
02/08/2018,6.1
03/08/2018,0.0
04/08/2018,5.0
05/08/2018,0.5
06/08/2018,0.0
07/08/2018,0.0
08/08/2018,0.5
09/08/2018,0.0
10/08/2018,47.9
11/08/2018,51.9
12/08/2018,18.9
13/08/2018,0.1
14/08/2018,32.9
15/08/2018,2.2
16/08/2018,3.2
17/08/2018,36.1
18/08/2018,21.8
19/08/2018,31.2
20/08/2018,61.1
21/08/2018,25.7
22/08/2018,26.4
23/08/2018,24.9
24/08/2018,0.1
25/08/2018,0.0
26/08/2018,80.2
27/08/2018,27.3
28/08/2018,71.6
29/08/2018,23.3
30/08/2018,6.3
31/08/2018,7.2
01/09/2018,32.0
02/09/2018,9.8
03/09/2018,0.3
04/09/2018,0.0
05/09/2018,0.1
06/09/2018,0.0
07/09/2018,0.0
08/09/2018,24.6
09/09/2018,16.7
10/09/2018,0.2
11/09/2018,0.0
12/09/2018,0.0
13/09/2018,2.5
14/09/2018,0.0
15/09/2018,0.0
16/09/2018,167.5
17/09/2018,12.0
18/09/2018,1.2
19/09/2018,0.0
20/09/2018,0.0
21/09/2018,0.0
22/09/2018,0.0
23/09/2018,0.0
24/09/2018,72.2
25/09/2018,34.5
26/09/2018,9.7
27/09/2018,0.0
28/09/2018,0.0
29/09/2018,0.0
30/09/2018,0.0
01/10/2018,2.9
02/10/2018,0.0
03/10/2018,0.0
04/10/2018,0.0
05/10/2018,0.0
06/10/2018,0.0
07/10/2018,0.0
08/10/2018,2.0
09/10/2018,0.6
10/10/2018,42.8
11/10/2018,0.0
12/10/2018,0.3
13/10/2018,0.4
14/10/2018,0.6
15/10/2018,31.4
16/10/2018,8.9
17/10/2018,1.5
18/10/2018,12.6
19/10/2018,0.2
20/10/2018,0.0
21/10/2018,0.0
22/10/2018,0.0
23/10/2018,0.1
24/10/2018,0.0
25/10/2018,0.0
26/10/2018,0.0
27/10/2018,0.0
28/10/2018,0.0
29/10/2018,0.0
30/10/2018,0.0
31/10/2018,0.0
01/11/2018,0.0
02/11/2018,0.1
03/11/2018,8.3
04/11/2018,0.0
05/11/2018,0.0
06/11/2018,0.0
07/11/2018,0.0
08/11/2018,0.0
09/11/2018,0.0
10/11/2018,0.0
11/11/2018,0.0
12/11/2018,0.0
13/11/2018,0.0
14/11/2018,0.0
15/11/2018,0.0
16/11/2018,1.1
17/11/2018,0.5
18/11/2018,0.0
19/11/2018,0.0
20/11/2018,0.1
21/11/2018,2.4
22/11/2018,0.2
23/11/2018,0.0
24/11/2018,0.0
25/11/2018,21.0
26/11/2018,15.7
27/11/2018,16.3
28/11/2018,7.7
29/11/2018,0.0
30/11/2018,0.0
01/12/2018,0.0
02/12/2018,0.0
03/12/2018,0.0
04/12/2018,0.0
05/12/2018,0.0
06/12/2018,0.1
07/12/2018,1.0
08/12/2018,0.0
09/12/2018,0.0
10/12/2018,0.2
11/12/2018,0.0
12/12/2018,0.0
13/12/2018,0.0
14/12/2018,0.0
15/12/2018,0.0
16/12/2018,0.0
17/12/2018,0.0
18/12/2018,0.0
19/12/2018,0.0
20/12/2018,0.0
21/12/2018,0.0
22/12/2018,0.0
23/12/2018,10.5
24/12/2018,0.1
25/12/2018,0.0
26/12/2018,0.0
27/12/2018,0.0
28/12/2018,0.0
29/12/2018,0.0
30/12/2018,0.0
31/12/2018,0.0
